T_begin,Beginning of the averaging interval,dd.MM.yyyy hh:mm
T_end,Ending of the averaging interval,dd.MM.yyyy hh:mm
statflag_ustar,flag for stationarity test for ustar,
statflag_wTs,flag for stationarity test for wTs,
statflag_wTp,flag for stationarity test for wTp,
statflag_wa,flag for stationarity test for wa,
statflag_wco2,flag for stationarity test for wCO2,
itcflag_u,flag for itc test for u,
itcflag_w,flag for itc test for w,
itcflag_Ts,flag for itc test for Ts,
itcflag_Tp,flag for itc test for Tp,
