t_begin,Beginning of the averaging interval,dd.MM.yyyy hh:mm
t_end,Ending of the averaging interval,dd.MM.yyyy hh:mm
u,horizontal wind component for the direction in which the sonic is oriented,m/s
v,horizontal wind component for the direction rectangular to the orientation of the sonic,m/s
w,vertical wind component,m/s
ts,sonic temperature,deg C
tp,temperature from an additional fast response sensor,deg C
a,absolute humidity averaged from turbulence measurement,g/m3
co2,CO2 concentration averaged from turbulence measurement,mmol/m3
t_ref,temperature measurement from a slow response reference sensor,deg C
a_ref,absolute humidity from a slow response reference sensor,g/m3
p_ref,air pressure,hPa
var_u,Variance of the wind component u,m/s
var_v,Variance of the wind component v,m/s
var_w,Variance of the wind component w,m/s
var_ts,Variance of sonic temperature,deg C
var_tp,Variance of Temperature from a additional fast response sensor,deg C
var_a,Variance of absolute humidity,g/m3
var_co2,Variance of CO2 concentration,mmol/m3
cov_u_v,Covariance between the wind components u and v,m2/s2
cov_v_w,Covariance between the wind components v and w,m2/s2
cov_u_w,Covariance between the wind components u and w,m2/s2
cov_u_ts,Covariance between the wind component u and the sonic temperature,(m*deg C)/s
cov_v_ts,Covariance between the wind component v and the sonic temperature,(m*deg C)/s
cov_w_ts,Covariance between the wind component w and the sonic temperature,(m*deg C)/s
cov_u_tp,Covariance between the wind component u and the temperature from an additional fast response sensor,(m*deg C)/s
cov_v_tp,Covariance between the wind component v and the temperature from an additional fast response sensor,(m*deg C)/s
cov_w_tp,Covariance between the wind component w and the temperature from an additional fast response sensor,(m*deg C)/s
cov_u_a,Covariance between the wind component u and absolute humidity,g/(m2*s)
cov_v_a,Covariance between the wind component v and absolute humidity,g/(m2*s)
cov_w_a,Covariance between the wind component w and absolute humidity,g/(m2*s)
cov_u_co2,Covariance between thewind component u and the CO2 concentration,mmol/(m2*s)
cov_v_co2,Covariance between thewind component v and the CO2 concentration,mmol/(m2*s)
cov_w_co2,Covariance between thewind component w and the CO2 concentration,mmol/(m2*s)
nvalue,Number of values in time interval (for u),
dir,wind direction,deg
ustar,friction velocity,m/s
hts,sensible heat flux from sonic temperature,W/m2
htp,sensible heat flux from additional fine-wire temperature probe,W/m2
lve,latent heat flux,W/m2
zl,"stability parameter, z = zm-d; L is the Obukhov-length calculated with the actual temperature and the sensible heat flux",
zl_v,"stability parameter, z = zm-d; L is the Obukhov-length calculated with the virtual temperature and the buoyancy flux (correct but not so common)",
flag_ustar,combined QA/QC-flag for ustar,u*
flag_hts,combined QA/QC-flag for HTs,HTs
flag_htp,combined QA/QC-flag for HTp,HTp
flag_lve,combined QA/QC-flag for LvE,LvE
flag_wco,combined QA/QC-flag for Cov(w'CO2')/NEE,wCO2
t_mid,middle of time interval,
fcstor,storage flux,mmol/(m2*s)
nee,net ecosystem exchange comprising the Cov(w'CO2') and the storage flux if selected,mmol/(m2*s)
footprint_trgt_1,proportion of footprint from target area 1,
footprint_trgt_2,proportion of footprint from target area 2,
footprnt_xmax,location of maximum of cross-wind integrated footprint function,m
r_err_ustar,random error for ustar,%
r_err_hts,random error for HTs,%
r_err_lve,random error for LvE,%
r_err_co2,random error for Cov(w'CO2')/NEE,%
noise_ustar,noise error for ustar,%
noise_hts,noise error for HTs,%
noise_lve,noise error for LvE,%
noise_co2,noise error for Cov(w'CO2')/NEE,%
na_column,empty_column,delete_this_column_in_read_function
